"campaignid","sample","family","genus","species"
"2021-05_PtCloates_stereo-BRUVS","8","Unknown","Unknown","sp2"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Carangidae","Carangoides","chrysophrys"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Carangidae","Seriolina","nigrofasciata"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB12","Balistidae","Abalistes","filamentosus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB12","Carangidae","Carangoides","gymnostethus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB12","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB12","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB12","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB12","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Carangidae","Carangoides","chrysophrys"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Unknown","Unknown","unknown"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Balistidae","Sufflamen","fraenatum"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Carangidae","Carangoides","chrysophrys"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Labridae","Bodianus","solatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Lethrinidae","Lethrinus","olivaceus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Nemipteridae","Pentapodus","nagasakiensis"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","SUS","SUS","sus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Serranidae","Epinephelus","areolatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB2","Carangidae","Carangoides","chrysophrys"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB2","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB2","Carangidae","Carangoides","gymnostethus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB2","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB2","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB2","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB2","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Balistidae","Abalistes","filamentosus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Lethrinidae","Lethrinus","ravus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Malacanthidae","Malacanthus","brevirostris"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Acanthuridae","Naso","hexacanthus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Carangidae","Carangoides","chrysophrys"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Labridae","Bodianus","solatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Lutjanidae","Aphareus","rutilans"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Unknown","Unknown","unknown"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Carangidae","Carangoides","chrysophrys"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Carangidae","Decapterus","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Serranidae","Epinephelus","multinotatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Unknown","Unknown","unknown"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Carangidae","Carangoides","chrysophrys"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Carangidae","Carangoides","gymnostethus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Cirrhitidae","Cirrhitichthys","aprinus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Labridae","Choerodon","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Lethrinidae","Lethrinus","olivaceus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Lutjanidae","Aphareus","rutilans"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Malacanthidae","Malacanthus","brevirostris"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Nemipteridae","Pentapodus","nagasakiensis"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB3","Acanthuridae","Naso","fageni"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB3","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB3","Chaetodontidae","Heniochus","acuminatus"
