Dot Point Measurements

Generated: Monday 29 May 2023 15:43:40

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	BROAD	MORPHOLOGY	TYPE	RELIEF	CODE				Radius %
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1833	2881																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						52.1
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1996	2623																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						46.5
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		2137	3361																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						79.7
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		2078	2272																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						39.8
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1620	3128																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						59.7
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1703	3562																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						81.2
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		2153	3147																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						71.2
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1684	2263																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						23.4
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1983	2617																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						45.8
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1965	2521																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						41.9
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1946	2784																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						50.9
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		2065	3640																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						90.3
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1794	3566																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						82.5
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		2065	2865																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						57.6
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1959	1291																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						43.8
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1910	585																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						71.6
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1631	1402																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						29.8
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1755	297																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						82.5
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1721	420																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						76.2
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		2113	37																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						100.0
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1692	1341																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						33.9
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1652	317																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						80.4
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1646	1243																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						37.1
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1720	1267																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						37.7
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1947	777																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						63.9
