EMOB,Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
20210826-3-FLASH,PCFB4.1,-22.716,113.5564,20210826,14:23,14:29,,Pt Cloates,,77.7,Molly Gerrans,Yes,Yes,Checked all cameras. Showed PCFB18,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,20230606,
20210826-3-FLASH,PCFB4.2,-22.7163,113.5566,20210826,14:34,14:41,,Pt Cloates,,77.5,Molly Gerrans,Yes,Yes,PCFB4.2 - accidentally did this point twice,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,20230606,
20210826-4-FLASH,PCFB18,-22.7168,113.5539,20210826,14:45,14:52,,Pt Cloates,,82.3,Molly Gerrans,Yes,,Check updated IDs - Checked all cameras and resynced,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFB6,-22.7227,113.5527,20210826,14:58,15:03,,Pt Cloates,,81.7,Molly Gerrans,Yes,,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFB36,-22.7232,113.5498,20210826,15:07,15:14,,Pt Cloates,,84.4,Molly Gerrans,Yes,,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFB10,-22.7237,113.547,20210826,15:18,15:24,,Pt Cloates,,89.1,Molly Gerrans,Yes,,Check updated IDs,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFB41,-22.7273,113.5453,20210826,15:29,15:37,,Pt Cloates,,90,Molly Gerrans,Yes,,Checked all cameras,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFB3,-22.7291,113.5491,20210826,15:40,15:45,,Pt Cloates,,81.9,Molly Gerrans,Yes,,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFB39,-22.7304,113.5515,20210826,15:51,15:57,,Pt Cloates,,80.7,Molly Gerrans,Yes,,Check updated IDs,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFBP14,-22.766,113.5392,20210908,09:29,09:36,,Pt Cloates,,83,N/A,No,,Fell over after 3 mins,RAW2,TOP ONLY,N/A,,,,N/A,N/A,N/A,N/A,N/A,tips over
