Dot Point Measurements

Generated: Monday 21 August 2023 13:43:05

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare									Radius %
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1752	2495													Relief	Low / moderate	Low (<1m)	1			82003003		45.0
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		2021	2495													Relief	Low / moderate	Low (<1m)	1			82003003		56.1
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		139	2878																					68.4
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		408	2878													Relief	Low / moderate	Moderate (1-3m)	2			82003004		59.6
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		677	2878													Relief	Low / moderate	Low (<1m)	1			82003003		52.9
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		946	2878													Relief	Low / moderate	Low (<1m)	1			82003003		49.2
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1214	2878																					49.2
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1483	2878													Relief	Low / moderate	Moderate (1-3m)	2			82003004		52.9
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1752	2878													Relief	Low / moderate	Moderate (1-3m)	2			82003004		59.6
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		2021	2878													Relief	Low / moderate	Low (<1m)	1			82003003		68.4
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		139	3261																					83.4
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		408	3261													Relief	Low / moderate	Low (<1m)	1			82003003		76.4
