"imageptpair","filenameleft","frameleft","filenameright","frameright","sample","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"36","20210826_BOTTOM_1_0004_0001.mp4","49204","20210826_TOP_1_0004_0001.mp4","51863","PCFB24","0.52942",339.7474,"2.65215","3.12512","2078.30865","5.29915","43.76781","75.59496","191.86495","5.50797","-2069.42609","Serranidae","Epinephelus","areolatus","37311009",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6849","113.5534",NA,NA,"Pt Cloates",NA,NA,"98","Yes","Yes"
"39","20210826_BOTTOM_1_0004_0001.mp4","51077","20210826_TOP_1_0004_0001.mp4","53736","PCFB24","1.05022",588.78729,"26.53151","17.09138","4850.18705","25.50458","52.35744","64.89805","914.10869","1877.72739","-4377.54036","Lutjanidae","Pristipomoides","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6849","113.5534",NA,NA,"Pt Cloates",NA,NA,"98","Yes","Yes"
"40","20210826_BOTTOM_1_0004_0001.mp4","51405","20210826_TOP_1_0004_0001.mp4","54064","PCFB24","1.14142",451.93385,"21.75209","13.00549","3648.68313","11.85142","76.30371","51.35904","540.97178","-518.52631","-3570.90585","Lutjanidae","Pristipomoides","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6849","113.5534",NA,NA,"Pt Cloates",NA,NA,"98","Yes","Yes"
"41","20210826_BOTTOM_1_0004_0001.mp4","51658","20210826_TOP_1_0004_0001.mp4","54317","PCFB24","1.21177",496.4518,"11.61359","7.39186","3583.46136","22.81171","83.58344","80.13625","718.14589","-1189.32040","-3303.17708","Lutjanidae","Pristipomoides","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6849","113.5534",NA,NA,"Pt Cloates",NA,NA,"98","Yes","Yes"
"42","20210826_BOTTOM_1_0005_0001.mp4","19394","20210826_TOP_1_0005_0001.mp4","22053","PCFB43","1.52513",420.26268,"10.19498","18.01803","3120.66908","21.73464","71.82668","79.79249","-165.09608","-1143.75629","-2898.81706","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6868","113.5588",NA,NA,"Pt Cloates",NA,NA,"87.6","Yes","Yes"
"43","20210826_BOTTOM_1_0005_0001.mp4","19596","20210826_TOP_1_0005_0001.mp4","22255","PCFB43","1.58130",373.26436,"10.09316","9.72659","5774.53899","2.00990","51.40223","83.12653","177.11047","-98.22691","-5770.98638","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6868","113.5588",NA,NA,"Pt Cloates",NA,NA,"87.6","Yes","Yes"
"46","20210826_BOTTOM_1_0006_0001.mp4","24448","20210826_TOP_1_0006_0001.mp4","27107","PCFB17","0.23690",362.83804,"17.12166","9.21947","3471.94852","23.14994","77.84673","62.83216","-289.59890","-1333.88213","-3192.38429","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6881","113.5601",NA,NA,"Pt Cloates",NA,NA,"85","Yes","Yes"
"47","20210826_BOTTOM_1_0006_0001.mp4","68096","20210826_TOP_1_0006_0001.mp4","70755","PCFB38","0.00000",397.75132,"5.85682","6.01076","3078.07582","4.66518","68.52339","78.57463","76.66651","-238.32035","-3067.87816","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6921","113.5578",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"49","20210826_BOTTOM_1_0006_0001.mp4","71851","20210826_TOP_1_0007_0001.mp4","2582","PCFB38","1.04410",403.03557,"3.54165","3.24400","3375.03288","1.63854","48.24008","85.71923","20.15162","-94.37845","-3373.65285","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6921","113.5578",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"50","20210826_BOTTOM_1_0007_0001.mp4","42649","20210826_TOP_1_0007_0001.mp4","45308","PCFB7","2.02897",50.61074,"3.68418","7.35604","1667.77837","25.64427","40.14773","47.45212","-477.88870","540.92161","-1503.49955","Pinguipedidae","Parapercis","nebulosa","37390005",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6924","113.5591",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"53","20210826_BOTTOM_1_0007_0001.mp4","69301","20210826_TOP_1_0008_0001.mp4","31","PCFB22","0.26026",303.97239,"7.97538","3.12968","4310.91897","8.78394","23.37250","77.61117","372.91790","-542.50517","-4260.35711","Pomacanthidae","Pomacanthus","imperator","37365014",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6943","113.562",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"54","20210826_BOTTOM_1_0007_0001.mp4","69704","20210826_TOP_1_0008_0001.mp4","434","PCFB22","0.37232",361.69524,"9.32660","3.42318","3280.87011","17.77275","78.49973","73.58303","726.50287","-689.28733","-3124.28956","Balistidae","Abalistes","filamentosus","37465089",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6943","113.562",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"55","20210826_BOTTOM_1_0007_0001.mp4","70297","20210826_TOP_1_0008_0001.mp4","1027","PCFB22","0.53720",282.20011,"16.35117","1.86784","5922.34925","11.55215","7.75446","38.21139","90.85056","1182.52316","-5802.37932","Pomacanthidae","Pomacanthus","semicirculatus","37365080",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6943","113.562",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"57","20210826_BOTTOM_1_0007_0001.mp4","70781","20210826_TOP_1_0008_0001.mp4","1511","PCFB22","0.67178",338.4085,"13.56063","5.32831","3902.83567","23.47295","20.48759","31.16426","553.50923","1452.68376","-3579.86923","Pomacanthidae","Pomacanthus","semicirculatus","37365080",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6943","113.562",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"60","20210826_BOTTOM_1_0008_0001.mp4","35617","20210826_TOP_1_0008_0001.mp4","38276","PCFB33","0.25220",488.42692,"15.51098","15.25506","3422.19288","8.69693","87.78640","60.84046","512.14221","74.01158","-3382.84447","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6973","113.561",NA,NA,"Pt Cloates",NA,NA,"77","Yes","Yes"
"61","20210826_BOTTOM_1_0008_0001.mp4","35796","20210826_TOP_1_0008_0001.mp4","38455","PCFB33","0.30197",462.61355,"26.83907","15.87493","4346.42455","25.68241","69.79504","58.92492","346.66969","1851.48889","-3917.04166","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6973","113.561",NA,NA,"Pt Cloates",NA,NA,"77","Yes","Yes"
"0","20210826_BOTTOM_2_0001_0001.mp4","19666","20210826_TOP_2_0001_0001.mp4","15420","PCPREF11","0.75047",741.50192,"14.53631","14.60466","4025.61791","18.61235","42.14877","80.75068","290.63763","-1251.52679","-3815.07667","Lutjanidae","Aphareus","rutilans","37346001",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6967","113.5595",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"1","20210826_BOTTOM_2_0001_0001.mp4","20552","20210826_TOP_2_0001_0001.mp4","16306","PCPREF11","0.99683",713.44182,"18.70486","4.03509","3096.40930","3.55697","80.07743","46.91502","180.48283","65.80321","-3090.44438","Lutjanidae","Aphareus","rutilans","37346001",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6967","113.5595",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"2","20210826_BOTTOM_2_0001_0001.mp4","20552","20210826_TOP_2_0001_0001.mp4","16306","PCPREF11","0.99683",689.21656,"21.32365","10.78171","3326.15724","25.18312","81.24403","35.84746","566.31313","1297.08362","-3010.01420","Lutjanidae","Aphareus","rutilans","37346001",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6967","113.5595",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"3","20210826_BOTTOM_2_0001_0001.mp4","20741","20210826_TOP_2_0001_0001.mp4","16495","PCPREF11","1.04938",740.16285,"11.99714","3.35230","2439.03278","6.22289","80.21969","46.55921","-110.16668","240.33607","-2424.66137","Lutjanidae","Aphareus","rutilans","37346001",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6967","113.5595",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"4","20210826_BOTTOM_2_0001_0001.mp4","20741","20210826_TOP_2_0001_0001.mp4","16495","PCPREF11","1.04938",723.65563,"14.85211","3.13176","2632.25523","19.32763","84.71394","38.07991","-60.01222","869.12656","-2483.90522","Lutjanidae","Aphareus","rutilans","37346001",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6967","113.5595",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"5","20210826_BOTTOM_2_0001_0001.mp4","21035","20210826_TOP_2_0001_0001.mp4","16789","PCPREF11","1.13113",708.51578,"58.64371","0.97694","5296.00371","26.55543","77.12437","15.71341","891.42333","-2193.42865","-4737.28725","Lutjanidae","Aphareus","rutilans","37346001",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6967","113.5595",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"6","20210826_BOTTOM_2_0001_0001.mp4","21310","20210826_TOP_2_0001_0001.mp4","17064","PCPREF11","1.20760",697.50235,"22.93326","3.73809","5681.59475","6.04072","66.79894","75.96372","67.38804","-594.09446","-5650.04686","Lutjanidae","Aphareus","rutilans","37346001",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6967","113.5595",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"10","20210826_BOTTOM_2_0002_0001.mp4","36416","20210826_TOP_2_0002_0001.mp4","32170","PCFB2","2.94934",501.57448,"12.76687","14.58777","3913.84294","16.05678","84.88785","83.68233","-127.60832","-1074.98164","-3761.15636","Carangidae","Carangoides","chrysophrys","37337011",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.696","113.5523",NA,NA,"Pt Cloates",NA,NA,"91","Yes","Yes"
"11","20210826_BOTTOM_2_0002_0001.mp4","65587","20210826_TOP_2_0002_0001.mp4","61341","PCFB12","0.00000",449.02991,"5.39271","12.01398","2342.85594","9.45096","69.35023","69.09679","337.34464","-184.92272","-2311.05520","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6981","113.5558",NA,NA,"Pt Cloates",NA,NA,"83.9","Yes","Yes"
"12","20210826_BOTTOM_2_0002_0001.mp4","65587","20210826_TOP_2_0002_0001.mp4","61341","PCFB12","0.00000",435.17421,"8.58367","17.37428","3099.47584","24.60970","0.68490","82.88807","704.00389","1081.83207","-2817.93691","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6981","113.5558",NA,NA,"Pt Cloates",NA,NA,"83.9","Yes","Yes"
"13","20210826_BOTTOM_2_0002_0001.mp4","66465","20210826_TOP_2_0002_0001.mp4","62219","PCFB12","0.24413",776.16489,"27.81624","3.76256","5520.15861","15.35532","82.91476","75.37016","631.10820","1318.50281","-5323.10097","Carangidae","Seriola","rivoliana","37337052",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6981","113.5558",NA,NA,"Pt Cloates",NA,NA,"83.9","Yes","Yes"
"16","20210826_BOTTOM_2_0003_0001.mp4","36054","20210826_TOP_2_0003_0001.mp4","31808","PCFB28","2.52697",682.46313,"54.52642","5.76472","5200.30652","26.36692","79.82076","29.83181","-23.70324","2309.42777","-4659.30997","Carangidae","Carangoides","fulvoguttatus","37337037",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7017","113.5585",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"17","20210826_BOTTOM_2_0003_0001.mp4","36130","20210826_TOP_2_0003_0001.mp4","31884","PCFB28","2.54810",664.7349,"10.03319","5.74363","3756.22051","16.85177","27.21695","69.53144","772.93214","767.01635","-3594.92063","Carangidae","Carangoides","fulvoguttatus","37337037",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7017","113.5585",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"19","20210826_BOTTOM_2_0003_0001.mp4","70954","20210826_TOP_2_0003_0001.mp4","66708","PCPREF1","0.35980",418.09684,"2.73578","7.11842","1909.57040","14.81300","18.48096","70.78914","278.07729","-401.27603","-1846.10662","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6998","113.5588",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"21","20210826_BOTTOM_2_0004_0001.mp4","1262","20210826_TOP_2_0003_0001.mp4","68944","PCPREF1","0.98154",400.81137,"29.44037","16.32834","3983.11756","21.69377","77.41473","40.34448","608.53667","1340.69944","-3701.00440","Lutjanidae","Lutjanus","lemniscatus","37346010",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6998","113.5588",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"22","20210826_BOTTOM_2_0004_0001.mp4","1936","20210826_TOP_2_0003_0001.mp4","69618","PCPREF1","1.16895",266.71753,"26.51048","2.33919","4879.75613","29.44728","32.53424","19.51762","114.93294","2396.24323","-4249.33273","Pomacanthidae","Pomacanthus","semicirculatus","37365080",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6998","113.5588",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"24","20210826_BOTTOM_2_0004_0001.mp4","3088","20210826_TOP_2_0003_0001.mp4","70770","PCPREF1","1.48927",239.79515,"9.15010","3.57558","3081.48483","12.65295","50.29968","68.85445","26.68238","674.45642","-3006.65018","Balistidae","Xanthichthys","lineopunctatus","37465016",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6998","113.5588",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"25","20210826_BOTTOM_2_0004_0001.mp4","5879","20210826_TOP_2_0004_0001.mp4","1633","PCPREF1","2.26532",110.92341,"8.32422","3.25543","2875.79933","27.22786","5.45829","57.57710","-185.99195","1302.55352","-2557.14354","Cirrhitidae","Cyprinocirrhites","polyactis","37374006",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6998","113.5588",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"26","20210826_BOTTOM_2_0004_0001.mp4","6979","20210826_TOP_2_0004_0001.mp4","2733","PCPREF1","2.57118",79.51158,"5.64684","5.67392","3373.81073","7.91396","10.99700","46.47104","-447.51046","124.57578","-3341.67834","Serranidae","Pseudanthias","cooperi","37311113",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6998","113.5588",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
