"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2021-08_PtCloates_BOSS","PCFB16","20210826_BOTTOM_3_0001_0001.mp4","2.22472","Lethrinidae","Gymnocranius","spp",1,"-22.7061","113.5545",NA,NA,"Pt Cloates",NA,NA,"79.8","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB16","20210826_BOTTOM_3_0001_0001.mp4","1.21038","Pinguipedidae","Parapercis","nebulosa",1,"-22.7061","113.5545",NA,NA,"Pt Cloates",NA,NA,"79.8","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB17","20210826_BOTTOM_1_0006_0001.mp4","0.00000","Lethrinidae","Gymnocranius","sp1",1,"-22.6881","113.5601",NA,NA,"Pt Cloates",NA,NA,"85","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB18","20210826_BOTTOM_4_0001_0001.mp4","1.70531","Balistidae","Sufflamen","fraenatum",1,"-22.7168","113.5539",NA,NA,"Pt Cloates",NA,NA,"82.3","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB18","20210826_BOTTOM_4_0001_0001.mp4","2.20415","Carcharhinidae","Carcharhinus","albimarginatus",1,"-22.7168","113.5539",NA,NA,"Pt Cloates",NA,NA,"82.3","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB18","20210826_BOTTOM_4_0001_0001.mp4","0.94372","Carcharhinidae","Carcharhinus","spp",1,"-22.7168","113.5539",NA,NA,"Pt Cloates",NA,NA,"82.3","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB18","20210826_BOTTOM_4_0001_0001.mp4","1.70531","Labridae","Suezichthys","cyanolaemus",1,"-22.7168","113.5539",NA,NA,"Pt Cloates",NA,NA,"82.3","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB18","20210826_BOTTOM_4_0001_0001.mp4","1.99171","Labridae",NA,NA,1,"-22.7168","113.5539",NA,NA,"Pt Cloates",NA,NA,"82.3","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB19","20210826_BOTTOM_2_0005_0001.mp4","1.37443","Carangidae","Decapterus","spp",13,"-22.7049","113.5517",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB19","20210826_BOTTOM_2_0005_0001.mp4","1.58825","Lethrinidae","Gymnocranius","euanus",1,"-22.7049","113.5517",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB19","20210826_BOTTOM_2_0005_0001.mp4","1.98893","Lethrinidae","Gymnocranius","sp1",3,"-22.7049","113.5517",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB19","20210826_BOTTOM_2_0005_0001.mp4","1.02463","Lutjanidae","Aphareus","rutilans",4,"-22.7049","113.5517",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB19","20210826_BOTTOM_2_0005_0001.mp4","1.58825","Lutjanidae","Pristipomoides","sp1",20,"-22.7049","113.5517",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
