"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2022-05_PtCloates_BRUVS","19","-22.6847","113.5669","20220526","08:33:41",NA,NA,NA,"76.4","Yes","Yes"
"2022-05_PtCloates_BRUVS","20","-22.7212","113.5561","20220522","08:44:53",NA,NA,NA,"76","Yes","Yes"
"2022-05_PtCloates_BRUVS","21","-22.6893","113.5652","20220522","14:43:14",NA,NA,NA,"77.3","Yes","Yes"
"2022-05_PtCloates_BRUVS","22","-22.7072","113.5554","20220522","10:42:04",NA,NA,NA,"81.3","Yes","Yes"
"2022-05_PtCloates_BRUVS","23","-22.734","113.542","20220520","14:15:28",NA,NA,NA,"91.4","Yes","Yes"
"2022-05_PtCloates_BRUVS","24","-22.7426","113.5507","20220520","12:42:58",NA,NA,NA,"79.3","Yes","Yes"
"2022-05_PtCloates_BRUVS","25","-22.7053","113.5466","20220522","12:34:21",NA,NA,NA,"99.5","Yes","Yes"
"2022-05_PtCloates_BRUVS","26","-22.7615","113.5484","20220520","09:08:31",NA,NA,NA,"77.2","Yes","Yes"
"2022-05_PtCloates_BRUVS","27","-22.7254","113.5459","20220522","08:31:16",NA,NA,NA,"90.4","Yes","Yes"
"2022-05_PtCloates_BRUVS","28","-22.6987","113.5625","20220522","13:05:17",NA,NA,NA,"76.3","Yes","Yes"
"2022-05_PtCloates_BRUVS","29","-22.691","113.5564","20220522","14:54:59",NA,NA,NA,"87.9","Yes","Yes"
"2022-05_PtCloates_BRUVS","30","-22.7058","113.5588","20220522","10:47:54",NA,NA,NA,"78.5","Yes","Yes"
"2022-05_PtCloates_BRUVS","31","-22.7542","113.5424","20220520","10:27:48",NA,NA,NA,"82.3","Yes","Yes"
"2022-05_PtCloates_BRUVS","32","-22.7239","113.5552","20220522","08:39:35",NA,NA,NA,"78.3","Yes","Yes"
"2022-05_PtCloates_BRUVS","33","-22.719","113.549","20220522","10:09:30",NA,NA,NA,"85.4","Yes","Yes"
"2022-05_PtCloates_BRUVS","34","-22.6928","113.5645","20220522","14:38:27",NA,NA,NA,"76.4","Yes","Yes"
"2022-05_PtCloates_BRUVS","35","-22.6987","113.551","20220522","12:46:10",NA,NA,NA,"94.6","Yes","Yes"
"2022-05_PtCloates_BRUVS","36","-22.7318","113.5477","20220520","14:25:23",NA,NA,NA,"83.2","Yes","Yes"
"2022-05_PtCloates_BRUVS","37","-22.7475","113.5445","20220520","12:23:05",NA,NA,NA,"81.3","Yes","Yes"
"2022-05_PtCloates_BRUVS","38","-22.6868","113.5642","20220526","08:38:39",NA,NA,NA,"78.6","Yes","Yes"
"2022-05_PtCloates_BRUVS","39","-22.7105","113.5539","20220522","10:35:24",NA,NA,NA,"78.9","Yes","Yes"
"2022-05_PtCloates_BRUVS","40","-22.7522","113.5444","20220520","11:58:07",NA,NA,NA,"84.1","Yes","Yes"
"2022-05_PtCloates_BRUVS","41","-22.7154","113.5479","20220522","10:21:59",NA,NA,NA,"89.7","Yes","Yes"
"2022-05_PtCloates_BRUVS","42","-22.6952","113.5537","20220522","12:51:14",NA,NA,NA,"92.3","Yes","Yes"
"2022-05_PtCloates_BRUVS","43","-22.7328","113.5589","20220522","08:03:30",NA,NA,NA,"70.6","Yes","Yes"
"2022-05_PtCloates_BRUVS","44","-22.7482","113.549","20220520","12:17:32",NA,NA,NA,"79.4","Yes","Yes"
"2022-05_PtCloates_BRUVS","45","-22.7602","113.5432","20220520","09:23:19",NA,NA,NA,"81.8","Yes","Yes"
"2022-05_PtCloates_BRUVS","46","-22.693","113.5605","20220522","14:30:54",NA,NA,NA,"79.5","Yes","Yes"
"2022-05_PtCloates_BRUVS","47","-22.6999","113.5592","20220522","12:59:50",NA,NA,NA,"80.8","Yes","Yes"
"2022-05_PtCloates_BRUVS","48","-22.696","113.5596","20220522","14:21:46",NA,NA,NA,"80.2","Yes","Yes"
"2022-05_PtCloates_BRUVS","50","-22.7173","113.5528","20220522","10:14:30",NA,NA,NA,"81.9","Yes","Yes"
"2022-05_PtCloates_BRUVS","51","-22.69","113.5609","20220522","14:49:13",NA,NA,NA,"79.4","Yes","Yes"
"2022-05_PtCloates_BRUVS","52","-22.7635","113.5348","20220520","08:50:37",NA,NA,NA,"91","Yes","Yes"
"2022-05_PtCloates_BRUVS","53","-22.6839","113.5636","20220526","08:29:10",NA,NA,NA,"78.2","Yes","Yes"
"2022-05_PtCloates_BRUVS","54","-22.7654","113.5392","20220520","08:32:36",NA,NA,NA,"83.1","Yes","Yes"
"2022-05_PtCloates_BRUVS","55","-22.7564","113.529","20220520","09:48:49",NA,NA,NA,"89.1","Yes","Yes"
"2022-05_PtCloates_BRUVS","56","-22.7534","113.5302","20220520","10:09:08",NA,NA,NA,"99.8","Yes","Yes"
"2022-05_PtCloates_BRUVS","57","-22.6751","113.561","20220526","08:11:51",NA,NA,NA,"88.2","Yes","Yes"
"2022-05_PtCloates_BRUVS","58","-22.7056","113.5502","20220522","12:28:44",NA,NA,NA,"90.9","Yes","Yes"
"2022-05_PtCloates_BRUVS","59","-22.7437","113.5452","20220520","12:37:35",NA,NA,NA,"83.5","Yes","Yes"
"2022-05_PtCloates_BRUVS","60","-22.7516","113.5386","20220520","12:05:02",NA,NA,NA,"91","Yes","Yes"
"2022-05_PtCloates_BRUVS","61","-22.6779","113.5654","20220526","08:23:34",NA,NA,NA,"79.8","Yes","Yes"
"2022-05_PtCloates_BRUVS","62","-22.7375","113.542","20220520","14:11:26",NA,NA,NA,"90.1","Yes","Yes"
"2022-05_PtCloates_BRUVS","63","-22.6744","113.5666","20220526","08:17:59",NA,NA,NA,"81.1","Yes","Yes"
"2022-05_PtCloates_BRUVS","64","-22.7343","113.5508","20220520","14:30:16",NA,NA,NA,"79.2","Yes","Yes"
