"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2022-05_PtCloates_BOSS","249","-22.7248","113.5444",NA,NA,NA,"No-take",NA,"92.3","Yes","Yes"
"2022-05_PtCloates_BOSS","208","-22.7252","113.5464",NA,NA,NA,"No-take",NA,"89.2","Yes","Yes"
"2022-05_PtCloates_BOSS","228","-22.7233","113.5472",NA,NA,NA,"No-take",NA,"88","Yes","Yes"
"2022-05_PtCloates_BOSS","243","-22.7206","113.5573",NA,NA,NA,"No-take",NA,"74.4","Yes","Yes"
"2022-05_PtCloates_BOSS","217","-22.7179","113.5593",NA,NA,NA,"No-take",NA,"73.2","Yes","Yes"
"2022-05_PtCloates_BOSS","223","-22.7188","113.5517",NA,NA,NA,"No-take",NA,"80.5","Yes","Yes"
"2022-05_PtCloates_BOSS","260","-22.7177","113.5525",NA,NA,NA,"No-take",NA,"83.6","Yes","Yes"
"2022-05_PtCloates_BOSS","236","-22.717","113.5499",NA,NA,NA,"No-take",NA,"86.2","Yes","Yes"
"2022-05_PtCloates_BOSS","215","-22.712","113.5562",NA,NA,NA,"No-take",NA,"79.6","Yes","Yes"
"2022-05_PtCloates_BOSS","225","-22.7084","113.5624",NA,NA,NA,"No-take",NA,"72.1","Yes","Yes"
"2022-05_PtCloates_BOSS","252","-22.7054","113.5576",NA,NA,NA,"No-take",NA,"79.3","Yes","Yes"
"2022-05_PtCloates_BOSS","220","-22.7067","113.5554",NA,NA,NA,"No-take",NA,"80.8","Yes","Yes"
"2022-05_PtCloates_BOSS","268","-22.7054","113.5501",NA,NA,NA,"No-take",NA,"90.6","Yes","Yes"
"2022-05_PtCloates_BOSS","247","-22.7047","113.5467",NA,NA,NA,"No-take",NA,"96.4","Yes","No"
"2022-05_PtCloates_BOSS","254","-22.6993","113.5499",NA,NA,NA,"No-take",NA,"96","Yes","Yes"
"2022-05_PtCloates_BOSS","242","-22.7009","113.5519",NA,NA,NA,"No-take",NA,"88.5","Yes","Yes"
"2022-05_PtCloates_BOSS","206","-22.7019","113.5608",NA,NA,NA,"No-take",NA,"76.6","Yes","Yes"
"2022-05_PtCloates_BOSS","257","-22.7001","113.5592",NA,NA,NA,"No-take",NA,"79.4","Yes","Yes"
"2022-05_PtCloates_BOSS","229","-22.6961","113.5632",NA,NA,NA,"No-take",NA,"76.2","Yes","Yes"
"2022-05_PtCloates_BOSS","250","-22.6972","113.5605",NA,NA,NA,"No-take",NA,"78.1","Yes","Yes"
"2022-05_PtCloates_BOSS","258","-22.6958","113.5593",NA,NA,NA,"No-take",NA,"79.6","Yes","Yes"
"2022-05_PtCloates_BOSS","234","-22.6938","113.5563",NA,NA,NA,"No-take",NA,"85.6","Yes","Yes"
"2022-05_PtCloates_BOSS","213","-22.6919","113.5534",NA,NA,NA,"No-take",NA,"93.5","Yes","Yes"
"2022-05_PtCloates_BOSS","204","-22.6911","113.5576",NA,NA,NA,"No-take",NA,"85.8","Yes","Yes"
"2022-05_PtCloates_BOSS","261","-22.6899","113.5608",NA,NA,NA,"No-take",NA,"78.8","Yes","Yes"
"2022-05_PtCloates_BOSS","222","-22.6884","113.561",NA,NA,NA,"No-take",NA,"78.2","Yes","Yes"
"2022-05_PtCloates_BOSS","246","-22.6891","113.5588",NA,NA,NA,"No-take",NA,"84.3","Yes","Yes"
"2022-05_PtCloates_BOSS","239","-22.6885","113.5564",NA,NA,NA,"No-take",NA,"90.5","Yes","Yes"
"2022-05_PtCloates_BOSS","238","-22.6864","113.5594",NA,NA,NA,"No-take",NA,"85.9","Yes","Yes"
"2022-05_PtCloates_BOSS","210","-22.686","113.5589",NA,NA,NA,"No-take",NA,"87.7","Yes","Yes"
"2022-05_PtCloates_BOSS","202","-22.6851","113.5571",NA,NA,NA,"No-take",NA,"91.4","Yes","Yes"
"2022-05_PtCloates_BOSS","263","-22.684","113.5635",NA,NA,NA,"No-take",NA,"77.7","Yes","Yes"
"2022-05_PtCloates_BOSS","271","-22.6776","113.5654",NA,NA,NA,"No-take",NA,"79.5","Yes","Yes"
"2022-05_PtCloates_BOSS","273","-22.6741","113.5665",NA,NA,NA,"No-take",NA,"77.2","Yes","Yes"
"2022-05_PtCloates_BOSS","267","-22.6751","113.5615",NA,NA,NA,"No-take",NA,"88.4","Yes","Yes"
"2022-05_PtCloates_BOSS","122","-22.75","113.5452",NA,NA,"Pt Cloates","No-take",NA,"83","Yes","Yes"
"2022-05_PtCloates_BOSS","150","-22.7488","113.5427",NA,NA,"Pt Cloates","No-take",NA,"85.8","Yes","Yes"
"2022-05_PtCloates_BOSS","B59","-22.7439","113.5456",NA,NA,"Pt Cloates","No-take",NA,"84","Yes","Yes"
"2022-05_PtCloates_BOSS","147","-22.7423","113.5417",NA,NA,"Pt Cloates","No-take",NA,"88.9","Yes","Yes"
"2022-05_PtCloates_BOSS","118","-22.7388","113.5435",NA,NA,"Pt Cloates","No-take",NA,"88.2","Yes","Yes"
"2022-05_PtCloates_BOSS","136","-22.7379","113.5426",NA,NA,"Pt Cloates","No-take",NA,"89.9","Yes","Yes"
"2022-05_PtCloates_BOSS","B62","-22.7377","113.5417",NA,NA,"Pt Cloates","No-take",NA,"89.3","Yes","Yes"
