sample,PCO1,PCO2,method
2022-05_PtCloates_BOSS.B64,0.072058722,-0.158992916,BOSS
2021-08_PtCloates_BOSS.PCFB1.1,0.156975978,0.289167171,BOSS
2021-08_PtCloates_BOSS.PCFB1.2,0.059622387,0.249339314,BOSS
2021-08_PtCloates_BOSS.PCFB10,-0.440264029,-0.051372525,BOSS
2021-08_PtCloates_BOSS.PCFB11,-0.074660662,0.254990963,BOSS
2021-08_PtCloates_BOSS.PCFB12,0.131666932,0.440717714,BOSS
2021-08_PtCloates_BOSS.PCFB13,0.499622876,-0.083317312,BOSS
2021-08_PtCloates_BOSS.PCFB14,0.216876246,-0.145539469,BOSS
2021-08_PtCloates_BOSS.PCFB15.1,-0.204034174,0.196856154,BOSS
2021-08_PtCloates_BOSS.PCFB15.2,0.499622876,-0.083317312,BOSS
2021-08_PtCloates_BOSS.PCFB16,0.071530028,-0.079434495,BOSS
2021-08_PtCloates_BOSS.PCFB17,0.323291684,0.366219534,BOSS
2021-08_PtCloates_BOSS.PCFB18,0.081439199,-0.008488752,BOSS
2021-08_PtCloates_BOSS.PCFB19,-0.30818441,0.360194235,BOSS
2021-08_PtCloates_BOSS.PCFB2,0.319252973,-0.038825505,BOSS
2021-08_PtCloates_BOSS.PCFB20,0.141933617,0.196863996,BOSS
2021-08_PtCloates_BOSS.PCFB21,0.029286152,-0.038972596,BOSS
2021-08_PtCloates_BOSS.PCFB22,0.011641331,-0.047880659,BOSS
2021-08_PtCloates_BOSS.PCFB23,-0.318975651,0.094973561,BOSS
2021-08_PtCloates_BOSS.PCFB24,0.092230326,-0.06507177,BOSS
2021-08_PtCloates_BOSS.PCFB25,0.233828182,-0.042660519,BOSS
2021-08_PtCloates_BOSS.PCFB26,0.074849583,0.623385487,BOSS
2021-08_PtCloates_BOSS.PCFB27,-0.172033949,-0.109828378,BOSS
2021-08_PtCloates_BOSS.PCFB28,0.043681554,-0.004966673,BOSS
2021-08_PtCloates_BOSS.PCFB29,0.323291684,0.366219534,BOSS
2021-08_PtCloates_BOSS.PCFB3,-0.361817927,-0.019639669,BOSS
2021-08_PtCloates_BOSS.PCFB30,0.246722913,-0.013194603,BOSS
2021-08_PtCloates_BOSS.PCFB31,0.105854468,0.309405316,BOSS
2021-08_PtCloates_BOSS.PCFB32,0.112968159,0.432927067,BOSS
2021-08_PtCloates_BOSS.PCFB33,0.087548974,0.489090822,BOSS
2021-08_PtCloates_BOSS.PCFB34,0.323291684,0.366219534,BOSS
2021-08_PtCloates_BOSS.PCFB35,0.362262234,-0.187946385,BOSS
2021-08_PtCloates_BOSS.PCFB36,0.211817527,0.350123344,BOSS
2021-08_PtCloates_BOSS.PCFB37,0.499622876,-0.083317312,BOSS
2021-08_PtCloates_BOSS.PCFB38,0.239822389,0.487009536,BOSS
2021-08_PtCloates_BOSS.PCFB39,0.151631739,-0.053233498,BOSS
2021-08_PtCloates_BOSS.PCFB4.1,0.075625919,0.37577672,BOSS
2021-08_PtCloates_BOSS.PCFB4.2,0.028848248,0.443331903,BOSS
2021-08_PtCloates_BOSS.PCFB40,0.499622876,-0.083317312,BOSS
2021-08_PtCloates_BOSS.PCFB41,0.356273824,-0.062482122,BOSS
2021-08_PtCloates_BOSS.PCFB42,-0.090947891,-0.016619115,BOSS
2021-08_PtCloates_BOSS.PCFB43,0.239822389,0.487009536,BOSS
2021-08_PtCloates_BOSS.PCFB44,0.111058179,0.466469296,BOSS
2021-08_PtCloates_BOSS.PCFB45,0.109605924,0.295603263,BOSS
2021-08_PtCloates_BOSS.PCFB46,0.027822944,0.414202463,BOSS
2021-08_PtCloates_BOSS.PCFB5,0.499622876,-0.083317312,BOSS
2021-08_PtCloates_BOSS.PCFB6,0.010615702,0.208803199,BOSS
2021-08_PtCloates_BOSS.PCFB7,0.267308165,-0.175470624,BOSS
2021-08_PtCloates_BOSS.PCFB8,0.178559278,0.333043873,BOSS
2021-08_PtCloates_BOSS.PCFB9,0.302368615,-0.065099975,BOSS
2021-08_PtCloates_BOSS.PCFBP12,0.352109514,-0.098705443,BOSS
