"campaignid","sample","family","genus","species","length","number","range"
"2021-05_PtCloates_stereo-BRUVS","13","Lethrinidae","Lethrinus","miniatus",530.32791,1,2496.14846
"2021-05_PtCloates_stereo-BRUVS","13","Lethrinidae","Lethrinus","miniatus",583.47102,1,2769.55781
"2021-05_PtCloates_stereo-BRUVS","13","Lethrinidae","Lethrinus","miniatus",497.74367,1,1374.74971
"2021-05_PtCloates_stereo-BRUVS","14","Rhinobatidae","Unknown","spp",631.66223,1,2104.14423
"2021-05_PtCloates_stereo-BRUVS","14","Triakidae","Hemitriakis","falcata",613.72316,1,1029.85643
"2021-05_PtCloates_stereo-BRUVS","14","Sparidae","Chrysophrys","auratus",435.67136,1,2289.49141
"2021-05_PtCloates_stereo-BRUVS","14","Sparidae","Chrysophrys","auratus",436.42536,1,1367.61962
"2021-05_PtCloates_stereo-BRUVS","14","Sparidae","Chrysophrys","auratus",378.29088,1,1846.02263
"2021-05_PtCloates_stereo-BRUVS","14","Lutjanidae","Pristipomoides","typus",455.06907,1,4274.05329
"2021-05_PtCloates_stereo-BRUVS","14","Lethrinidae","Gymnocranius","grandoculis",381.87165,1,1256.88402
"2021-05_PtCloates_stereo-BRUVS","14","Carangidae","Seriola","dumerili",1140.61673,1,2807.14144
"2021-05_PtCloates_stereo-BRUVS","14","Carangidae","Seriola","dumerili",1000.56357,1,3076.20465
"2021-05_PtCloates_stereo-BRUVS","14","Carangidae","Seriola","dumerili",1234.94641,1,2896.77645
"2021-05_PtCloates_stereo-BRUVS","14","Carangidae","Seriola","dumerili",1154.7423,1,4353.80829
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Lutjanus","sebae",548.11669,1,1460.4967
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Lutjanus","sebae",508.1817,1,1607.75306
"2021-05_PtCloates_stereo-BRUVS","15","Echeneidae","Echeneis","naucrates",102.48211,1,2125.65386
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Aprion","virescens",793.81127,1,4486.728
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",323.31234,1,2011.49234
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",327.50214,1,1736.71359
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",362.77989,1,1346.4169
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",332.62073,1,1656.40587
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",511.02868,1,2124.50607
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",343.33918,1,2797.66854
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",335.09926,1,3505.78997
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",516.42248,1,2815.48876
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",327.77567,1,1877.48013
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",353.88264,1,1948.07846
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",343.32716,1,3077.91707
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",322.1754,1,2381.14848
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",328.05412,1,2016.55988
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",375.82231,1,3401.66872
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",348.97099,1,3333.3653
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",310.06136,1,2445.78372
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",316.04655,1,2356.766
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",341.96398,1,2150.23635
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","filamentosus",330.94844,1,3850.19842
"2021-05_PtCloates_stereo-BRUVS","15","Carcharhinidae","Carcharhinus","sp2",750.65389,1,4943.34804
"2021-05_PtCloates_stereo-BRUVS","15","Labridae","Choerodon","zamboangae",314.53452,1,3604.56062
"2021-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Gymnocranius","grandoculis",366.28668,1,1716.74403
"2021-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Gymnocranius","grandoculis",339.23729,1,1641.22539
"2021-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Gymnocranius","grandoculis",256.64952,1,1836.69236
"2021-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Gymnocranius","grandoculis",308.53695,1,2183.20062
"2021-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Gymnocranius","grandoculis",343.49245,1,2233.08687
"2021-05_PtCloates_stereo-BRUVS","15","Labridae","Bodianus","solatus",280.491,1,3342.92494
"2021-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","chrysophrys",441.45969,1,3218.82544
"2021-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","chrysophrys",451.14785,1,2116.55034
"2021-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","chrysophrys",439.66635,1,4069.99065
