sample,PCO1,PCO2,method
2021-08_PtCloates_BOSS.PCFB22,-0.024839532,-0.111934372,BOSS
2021-08_PtCloates_BOSS.PCFB23,-0.255323453,0.10395623,BOSS
2021-08_PtCloates_BOSS.PCFB24,0.009893678,-0.094331209,BOSS
2021-08_PtCloates_BOSS.PCFB25,0.147693287,-0.160878735,BOSS
2021-08_PtCloates_BOSS.PCFB26,-0.619872778,-0.522170151,BOSS
2021-08_PtCloates_BOSS.PCFB27,-0.152469673,0.05876303,BOSS
2021-08_PtCloates_BOSS.PCFB28,0.008596026,-0.120844859,BOSS
2021-08_PtCloates_BOSS.PCFB29,0.178991233,-0.386431029,BOSS
2021-08_PtCloates_BOSS.PCFB3,-0.270841767,0.156152979,BOSS
2021-08_PtCloates_BOSS.PCFB30,0.153685394,-0.210219061,BOSS
2021-08_PtCloates_BOSS.PCFB31,0.0413762,-0.276550124,BOSS
2021-08_PtCloates_BOSS.PCFB32,-0.031188822,-0.288403007,BOSS
2021-08_PtCloates_BOSS.PCFB33,-0.12577542,-0.297846772,BOSS
2021-08_PtCloates_BOSS.PCFB34,0.178991233,-0.386431029,BOSS
2021-08_PtCloates_BOSS.PCFB35,0.245208906,-0.319124813,BOSS
2021-08_PtCloates_BOSS.PCFB36,0.104087902,-0.35455595,BOSS
2021-08_PtCloates_BOSS.PCFB37,0.788784762,0.274392646,BOSS
2021-08_PtCloates_BOSS.PCFB38,-0.059928772,-0.428766703,BOSS
2021-08_PtCloates_BOSS.PCFB39,-0.002085121,-0.102683014,BOSS
2021-08_PtCloates_BOSS.PCFB4.1,-0.018064451,-0.278992343,BOSS
2021-08_PtCloates_BOSS.PCFB4.2,-0.089871085,-0.255533723,BOSS
2021-08_PtCloates_BOSS.PCFB40,0.788784762,0.274392646,BOSS
2021-08_PtCloates_BOSS.PCFB41,0.237117553,-0.158801431,BOSS
2021-08_PtCloates_BOSS.PCFB42,-0.161571628,0.009726071,BOSS
2021-08_PtCloates_BOSS.PCFB43,-0.059928772,-0.428766703,BOSS
2021-08_PtCloates_BOSS.PCFB44,-0.077526621,-0.305108819,BOSS
2021-08_PtCloates_BOSS.PCFB45,0.037474813,-0.293971948,BOSS
2021-08_PtCloates_BOSS.PCFB46,-0.072661817,-0.223591518,BOSS
2021-08_PtCloates_BOSS.PCFB5,0.788784762,0.274392646,BOSS
2021-08_PtCloates_BOSS.PCFB6,-0.008103726,-0.195792919,BOSS
2021-08_PtCloates_BOSS.PCFB7,0.167924296,-0.328404572,BOSS
2021-08_PtCloates_BOSS.PCFB8,0.075082251,-0.335335259,BOSS
2021-08_PtCloates_BOSS.PCFB9,0.203215831,-0.102139427,BOSS
2021-08_PtCloates_BOSS.PCFBP12,0.232291458,-0.206122822,BOSS
2021-08_PtCloates_BOSS.PCFBP13,0.788784762,0.274392646,BOSS
2021-08_PtCloates_BOSS.PCFBP14,0.024167617,-0.119282605,BOSS
2021-08_PtCloates_BOSS.PCFBP17,-0.033103421,-0.133128358,BOSS
2021-08_PtCloates_BOSS.PCFBP18,0.139856109,-0.150436976,BOSS
2021-08_PtCloates_BOSS.PCFBP2,0.245208906,-0.319124813,BOSS
2021-08_PtCloates_BOSS.PCFBP3,-0.121797085,-0.012353832,BOSS
2021-08_PtCloates_BOSS.PCFBP4,-0.655772606,-0.15612999,BOSS
2021-08_PtCloates_BOSS.PCFBP5,-0.111542132,-0.057596056,BOSS
2021-08_PtCloates_BOSS.PCPREF1,-0.069314799,-0.135137525,BOSS
2021-08_PtCloates_BOSS.PCPREF10,0.024884558,-0.210101649,BOSS
2021-08_PtCloates_BOSS.PCPREF11,-0.160972624,-0.06545117,BOSS
2021-08_PtCloates_BOSS.PCPREF15,-0.190491868,0.042291115,BOSS
2021-08_PtCloates_BOSS.PCPREF16,-0.200761304,-0.111021111,BOSS
2021-08_PtCloates_BOSS.PCPREF6,-0.108575651,-0.144201853,BOSS
2021-08_PtCloates_BOSS.PCPREF7,-0.031083157,-0.13684173,BOSS
2021-08_PtCloates_BOSS.PCPREF8,-0.123949528,-0.083932217,BOSS
2021-08_PtCloates_BOSS.PCPREF9,0.788784762,0.274392646,BOSS
2021-08_PtCloates_BOSS.PCSB10,-0.048712788,-0.200863005,BOSS
2021-08_PtCloates_BOSS.PCSB16,0.160083574,-0.290626429,BOSS
2021-08_PtCloates_BOSS.PCSB19,0.788784762,0.274392646,BOSS
2021-08_PtCloates_BOSS.PCSB21,0.0872345,-0.29845557,BOSS
2021-08_PtCloates_BOSS.PCSB22,0.131028978,-0.218859728,BOSS
2021-08_PtCloates_BOSS.PCSB23,-0.500555945,-0.219332691,BOSS
2021-08_PtCloates_BOSS.PCSB26,0.788784762,0.274392646,BOSS
2021-08_PtCloates_BOSS.PCSB29,0.788784762,0.274392646,BOSS
