"id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Sparidae","Dentex","spp",NA,0,NA,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","SUS","SUS","sus",60.66569,1,2684.6995,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","SUS","SUS","sus",64.53575,1,2504.56877,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Triakidae","Unknown","spp",NA,0,NA,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12",NA,NA,NA,NA,0,NA,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","Carangidae","Carangoides","sp10",NA,0,NA,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","Carangidae","Pseudocaranx","spp",NA,0,NA,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","Carcharhinidae","Carcharhinus","spp",NA,0,NA,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","Holocentridae","Sargocentron","spp",207.53368,1,2477.99021,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
