"campaignid","sample","family","genus","species","maxn"
"2021-08_PtCloates_BOSS","PCPREF1","Carcharhinidae","Carcharhinus","albimarginatus",1
"2021-08_PtCloates_BOSS","PCPREF1","Cirrhitidae","Cyprinocirrhites","polyactis",1
"2021-08_PtCloates_BOSS","PCPREF1","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCPREF1","Lutjanidae","Lutjanus","lemniscatus",1
"2021-08_PtCloates_BOSS","PCPREF1","Pomacanthidae","Apolemichthys","trimaculatus",1
"2021-08_PtCloates_BOSS","PCPREF1","Pomacanthidae","Pomacanthus","semicirculatus",1
"2021-08_PtCloates_BOSS","PCPREF1","Serranidae","Plectropomus","spp",1
"2021-08_PtCloates_BOSS","PCPREF1","Serranidae","Pseudanthias","cooperi",7
"2021-08_PtCloates_BOSS","PCPREF10","Carangidae","Carangoides","spp",1
"2021-08_PtCloates_BOSS","PCPREF10","Pinguipedidae","Parapercis","nebulosa",1
"2021-08_PtCloates_BOSS","PCPREF10","Pomacanthidae","Chaetodontoplus","personifer",2
"2021-08_PtCloates_BOSS","PCPREF10","Serranidae","Plectropomus","spp",1
"2021-08_PtCloates_BOSS","PCPREF10","Serranidae","Variola","louti",1
"2021-08_PtCloates_BOSS","PCPREF11","Lutjanidae","Aphareus","rutilans",7
"2021-08_PtCloates_BOSS","PCPREF11","Serranidae","Plectropomus","spp",1
"2021-08_PtCloates_BOSS","PCPREF15","Chaetodontidae","Heniochus","acuminatus",5
"2021-08_PtCloates_BOSS","PCPREF15","Glaucosomatidae","Glaucosoma","buergeri",1
"2021-08_PtCloates_BOSS","PCPREF15","Haemulidae","Diagramma","pictum",1
"2021-08_PtCloates_BOSS","PCPREF15","Labridae","Bodianus","solatus",2
"2021-08_PtCloates_BOSS","PCPREF15","Lethrinidae","Lethrinus","miniatus",1
"2021-08_PtCloates_BOSS","PCPREF15","Lutjanidae","Lutjanus","vitta",6
"2021-08_PtCloates_BOSS","PCPREF15","Pinguipedidae","Parapercis","nebulosa",3
"2021-08_PtCloates_BOSS","PCPREF15","Pomacanthidae","Pomacanthus","semicirculatus",2
"2021-08_PtCloates_BOSS","PCPREF15","Serranidae","Plectropomus","spp",1
"2021-08_PtCloates_BOSS","PCPREF16","Chaetodontidae","Chaetodon","assarius",2
"2021-08_PtCloates_BOSS","PCPREF16","Lethrinidae","Gymnocranius","sp1",4
"2021-08_PtCloates_BOSS","PCPREF16","Lutjanidae","Pristipomoides","sp1",6
"2021-08_PtCloates_BOSS","PCPREF16","Mullidae","Parupeneus","heptacanthus",3
"2021-08_PtCloates_BOSS","PCPREF16","Sparidae","Unknown","spp",1
"2021-08_PtCloates_BOSS","PCPREF6","Carangidae","Seriola","rivoliana",1
"2021-08_PtCloates_BOSS","PCPREF6","Chaetodontidae","Heniochus","spp",2
"2021-08_PtCloates_BOSS","PCPREF6","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCPREF6","Lutjanidae","Aphareus","rutilans",4
"2021-08_PtCloates_BOSS","PCPREF7","Cirrhitidae","Cyprinocirrhites","polyactis",4
"2021-08_PtCloates_BOSS","PCPREF7","Labridae","Coris","caudimacula",1
"2021-08_PtCloates_BOSS","PCPREF8","Chaetodontidae","Heniochus","acuminatus",1
"2021-08_PtCloates_BOSS","PCPREF8","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCPREF8","Lethrinidae","Lethrinus","miniatus",1
"2021-08_PtCloates_BOSS","PCPREF8","Lethrinidae","Lethrinus","rubrioperculatus",1
"2021-08_PtCloates_BOSS","PCPREF8","Lutjanidae","Aphareus","rutilans",1
"2021-08_PtCloates_BOSS","PCPREF8","Pomacanthidae","Chaetodontoplus","personifer",6
"2021-08_PtCloates_BOSS","PCSB10","Carangidae","Carangoides","fulvoguttatus",2
"2021-08_PtCloates_BOSS","PCSB10","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCSB10","Lethrinidae","Lethrinus","miniatus",1
"2021-08_PtCloates_BOSS","PCSB16","Carcharhinidae","Carcharhinus","plumbeus",1
"2021-08_PtCloates_BOSS","PCSB16","Pinguipedidae","Parapercis","nebulosa",1
"2021-08_PtCloates_BOSS","PCSB16","Unknown","Unknown","unknown",1
"2021-08_PtCloates_BOSS","PCSB21","Carangidae","Carangoides","chrysophrys",1
"2021-08_PtCloates_BOSS","PCSB21","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCSB22","Cirrhitidae","Cyprinocirrhites","polyactis",1
"2021-08_PtCloates_BOSS","PCSB22","Lethrinidae","Lethrinus","miniatus",1
"2021-08_PtCloates_BOSS","PCSB23","Lethrinidae","Gymnocranius","sp1",6
"2021-08_PtCloates_BOSS","PCSB23","Lutjanidae","Pristipomoides","sp1",1
"2021-08_PtCloates_BOSS","PCSB23","SUS","SUS","sus",4
"2021-08_PtCloates_BOSS","PCSB26","Unknown","Unknown","unknown",1
"2021-08_PtCloates_BOSS","PCSB3","Carangidae","Decapterus","spp",1
"2021-08_PtCloates_BOSS","PCSB3","Carangidae","Unknown","spp",2
"2021-08_PtCloates_BOSS","PCSB3","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCSB3","Lutjanidae","Pristipomoides","sp1",2
"2021-08_PtCloates_BOSS","PCSB3","Sparidae","Argyrops","spinifer",1
"2021-08_PtCloates_BOSS","PCSB30","Chaetodontidae","Heniochus","acuminatus",3
"2021-08_PtCloates_BOSS","PCSB31","Lutjanidae","Aphareus","rutilans",6
"2021-08_PtCloates_BOSS","PCSB33","Carangidae","Carangoides","fulvoguttatus",1
"2021-08_PtCloates_BOSS","PCSB33","Carcharhinidae","Carcharhinus","spp",1
"2021-08_PtCloates_BOSS","PCSB33","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCSB33","Lutjanidae","Aphareus","rutilans",3
"2021-08_PtCloates_BOSS","PCSB33","Lutjanidae","Lutjanus","sebae",1
"2021-08_PtCloates_BOSS","PCSB38","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCSB42","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCSB42","Lethrinidae","Lethrinus","miniatus",1
"2021-08_PtCloates_BOSS","PCSB44","Acanthuridae","Naso","spp",15
"2021-08_PtCloates_BOSS","PCSB44","Chaetodontidae","Heniochus","acuminatus",2
"2021-08_PtCloates_BOSS","PCSB44","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCSB44","Lutjanidae","Lutjanus","lemniscatus",1
"2021-08_PtCloates_BOSS","PCSB44","Serranidae","Variola","louti",1
"2021-08_PtCloates_BOSS","PCSB45","Carangidae","Carangoides","fulvoguttatus",1
"2021-08_PtCloates_BOSS","PCSB45","Chaetodontidae","Heniochus","acuminatus",1
"2021-08_PtCloates_BOSS","PCSB5","Carangidae","Carangoides","spp",1
"2021-08_PtCloates_BOSS","PCSB7","Caesionidae","Pterocaesio","sp1",40
"2021-08_PtCloates_BOSS","PCSB7","Chaetodontidae","Heniochus","acuminatus",1
"2021-08_PtCloates_BOSS","PCSB7","Fistulariidae","Fistularia","commersonii",1
"2021-08_PtCloates_BOSS","PCSB7","Lethrinidae","Gymnocranius","sp1",2
"2021-08_PtCloates_BOSS","PCSB7","Lutjanidae","Lutjanus","sebae",2
"2021-08_PtCloates_BOSS","PCSB7","Mullidae","Unknown","spp",1
"2021-08_PtCloates_BOSS","PCSB7","Pomacanthidae","Apolemichthys","trimaculatus",1
"2021-08_PtCloates_BOSS","PCSB7","Pomacanthidae","Chaetodontoplus","personifer",2
"2021-08_PtCloates_BOSS","PCSB7","Unknown","Unknown","unknown",1
"2021-08_PtCloates_BOSS","PCSB8","Cirrhitidae","Cyprinocirrhites","polyactis",1
"2021-08_PtCloates_BOSS","PCSB9","Carangidae","Seriola","sp1",11
"2021-08_PtCloates_BOSS","PCSBP1","Acanthuridae","Acanthurus","spp",2
"2021-08_PtCloates_BOSS","PCSBP1","Acanthuridae","Naso","spp",23
"2021-08_PtCloates_BOSS","PCSBP1","Chaetodontidae","Chaetodon","assarius",1
"2021-08_PtCloates_BOSS","PCSBP1","Cirrhitidae","Cyprinocirrhites","polyactis",8
"2021-08_PtCloates_BOSS","PCSBP1","Labridae","Bodianus","bilunulatus",1
"2021-08_PtCloates_BOSS","PCSBP1","Labridae","Pseudanthias","cooperi",2
"2021-08_PtCloates_BOSS","PCSBP1","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCSBP1","Lethrinidae","Lethrinus","rubrioperculatus",4
"2021-08_PtCloates_BOSS","PCSBP1","Mullidae","Parupeneus","indicus",2
"2021-08_PtCloates_BOSS","PCSBP1","Pomacanthidae","Apolemichthys","trimaculatus",1
"2021-08_PtCloates_BOSS","PCSBP1","SUS","SUS","sus",3
"2021-08_PtCloates_BOSS","PCSBP1","Serranidae","Cephalopholis","sonnerati",2
"2021-08_PtCloates_BOSS","PCSBP1","Serranidae","Pseudanthias","cooperi",1
"2021-08_PtCloates_BOSS","PCSBP1","Unknown","Unknown","unknown",1
"2021-08_PtCloates_BOSS","PCSBP10","Caesionidae","Pterocaesio","chrysozona",31
"2021-08_PtCloates_BOSS","PCSBP10","Unknown","Unknown","unknown",1
"2021-08_PtCloates_BOSS","PCSBP11","Chaetodontidae","Heniochus","acuminatus",2
"2021-08_PtCloates_BOSS","PCSBP11","Labridae","Bodianus","bilunulatus",2
"2021-08_PtCloates_BOSS","PCSBP11","Lethrinidae","Lethrinus","miniatus",1
"2021-08_PtCloates_BOSS","PCSBP11","Lethrinidae","Lethrinus","olivaceus",1
"2021-08_PtCloates_BOSS","PCSBP11","Pomacanthidae","Apolemichthys","trimaculatus",1
"2021-08_PtCloates_BOSS","PCSBP11","Pomacanthidae","Chaetodontoplus","personifer",2
"2021-08_PtCloates_BOSS","PCSBP11","Pomacanthidae","Pomacanthus","imperator",1
"2021-08_PtCloates_BOSS","PCSBP11","Unknown","Unknown","unknown",2
"2021-08_PtCloates_BOSS","PCSBP16","Carangidae","Decapterus","spp",3
"2021-08_PtCloates_BOSS","PCSBP16","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCSBP16","Unknown","Unknown","unknown",1
"2021-08_PtCloates_BOSS","PCSBP6","Carcharhinidae","Carcharhinus","spp",2
"2021-08_PtCloates_BOSS","PCSBP7","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCSBP7","Pomacanthidae","Chaetodontoplus","personifer",1
