"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id"
"29","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7758,113.494,2021-05-19,14:05:09,"Point Cloates","Fished","outNP.5",152,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.29"
"29","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7758,113.494,2021-05-19,14:05:09,"Point Cloates","Fished","outNP.5",152,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.29"
"29","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7758,113.494,2021-05-19,14:05:09,"Point Cloates","Fished","outNP.5",152,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.29"
"30","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7887,113.4839,2021-05-19,14:46:48,"Point Cloates","Fished","outNP.6",169,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.30"
"30","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7887,113.4839,2021-05-19,14:46:48,"Point Cloates","Fished","outNP.6",169,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.30"
"30","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7887,113.4839,2021-05-19,14:46:48,"Point Cloates","Fished","outNP.6",169,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.30"
"31","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7936,113.5041,2021-05-19,15:43:13,"Point Cloates","Fished","outNP.7",116,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.31"
"31","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7936,113.5041,2021-05-19,15:43:13,"Point Cloates","Fished","outNP.7",116,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.31"
"31","Pinguipedidae","Parapercis","nebulosa",50.42008,1718.59753,1,1.04079841099579,5.042008,"2021-05_PtCloates_BOSS",-22.7936,113.5041,2021-05-19,15:43:13,"Point Cloates","Fished","outNP.7",116,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.31"
"32","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7537,113.4863,2021-05-19,11:44:58,"Point Cloates","Fished","outNP.8",194,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.32"
"32","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7537,113.4863,2021-05-19,11:44:58,"Point Cloates","Fished","outNP.8",194,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.32"
"32","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7537,113.4863,2021-05-19,11:44:58,"Point Cloates","Fished","outNP.8",194,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.32"
"33","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7163,113.4963,2021-05-20,09:54:39,"Point Cloates","Fished","outNP.9",207,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.33"
"33","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7163,113.4963,2021-05-20,09:54:39,"Point Cloates","Fished","outNP.9",207,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.33"
"33","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7163,113.4963,2021-05-20,09:54:39,"Point Cloates","Fished","outNP.9",207,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.33"
"34","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7662,113.4889,2021-05-19,13:14:53,"Point Cloates","Fished","outNP.10",179,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.34"
"34","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7662,113.4889,2021-05-19,13:14:53,"Point Cloates","Fished","outNP.10",179,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.34"
"34","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7662,113.4889,2021-05-19,13:14:53,"Point Cloates","Fished","outNP.10",179,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.34"
"36","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7564,113.4711,2021-05-19,11:08:39,"Point Cloates","Fished","outNP.12",215,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.36"
"36","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7564,113.4711,2021-05-19,11:08:39,"Point Cloates","Fished","outNP.12",215,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.36"
"36","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7564,113.4711,2021-05-19,11:08:39,"Point Cloates","Fished","outNP.12",215,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.36"
"37","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7836,113.4886,2021-05-19,14:32:03,"Point Cloates","Fished","outNP.13",156,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.37"
"37","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7836,113.4886,2021-05-19,14:32:03,"Point Cloates","Fished","outNP.13",156,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.37"
"37","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7836,113.4886,2021-05-19,14:32:03,"Point Cloates","Fished","outNP.13",156,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.37"
"39","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7938,113.4843,2021-05-19,15:14:50,"Point Cloates","Fished","outNP.15",156,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.39"
"39","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7938,113.4843,2021-05-19,15:14:50,"Point Cloates","Fished","outNP.15",156,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.39"
"39","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7938,113.4843,2021-05-19,15:14:50,"Point Cloates","Fished","outNP.15",156,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.39"
"4","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7113,113.5415,2021-05-20,11:01:54,"Point Cloates","No-take","inNP.4",100,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.4"
"4","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7113,113.5415,2021-05-20,11:01:54,"Point Cloates","No-take","inNP.4",100,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.4"
"4","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7113,113.5415,2021-05-20,11:01:54,"Point Cloates","No-take","inNP.4",100,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.4"
"40","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7809,113.4964,2021-05-19,14:17:36,"Point Cloates","Fished","outNP.16",138,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.40"
"40","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7809,113.4964,2021-05-19,14:17:36,"Point Cloates","Fished","outNP.16",138,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.40"
"40","Pinguipedidae","Parapercis","nebulosa",46.12536,2106.23034,1,0.79684772221602,4.612536,"2021-05_PtCloates_BOSS",-22.7809,113.4964,2021-05-19,14:17:36,"Point Cloates","Fished","outNP.16",138,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.40"
"40","Pinguipedidae","Parapercis","nebulosa",NA,2104.53544,1,NA,NA,"2021-05_PtCloates_BOSS",-22.7809,113.4964,2021-05-19,14:17:36,"Point Cloates","Fished","outNP.16",138,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.40"
"42","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7887,113.4764,2021-05-19,15:00:24,"Point Cloates","Fished","outNP.18",184,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.42"
"42","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7887,113.4764,2021-05-19,15:00:24,"Point Cloates","Fished","outNP.18",184,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.42"
"42","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7887,113.4764,2021-05-19,15:00:24,"Point Cloates","Fished","outNP.18",184,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.42"
"43","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7587,113.4991,2021-05-19,12:47:43,"Point Cloates","Fished","outNP.19",160,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.43"
"43","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7587,113.4991,2021-05-19,12:47:43,"Point Cloates","Fished","outNP.19",160,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.43"
"43","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7587,113.4991,2021-05-19,12:47:43,"Point Cloates","Fished","outNP.19",160,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.43"
"44","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7912,113.5064,2021-05-19,15:52:58,"Point Cloates","Fished","outNP.20",114,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.44"
"44","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7912,113.5064,2021-05-19,15:52:58,"Point Cloates","Fished","outNP.20",114,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.44"
"44","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7912,113.5064,2021-05-19,15:52:58,"Point Cloates","Fished","outNP.20",114,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.44"
"45","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7512,113.4889,2021-05-19,12:28:38,"Point Cloates","Fished","outNP.21",191,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.45"
"45","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7512,113.4889,2021-05-19,12:28:38,"Point Cloates","Fished","outNP.21",191,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.45"
"45","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7512,113.4889,2021-05-19,12:28:38,"Point Cloates","Fished","outNP.21",191,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.45"
"46","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7463,113.5214,2021-05-20,08:47:47,"Point Cloates","Fished","outNP.22",113,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.46"
"46","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7463,113.5214,2021-05-20,08:47:47,"Point Cloates","Fished","outNP.22",113,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.46"
"46","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7463,113.5214,2021-05-20,08:47:47,"Point Cloates","Fished","outNP.22",113,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.46"
"47","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7637,113.4839,2021-05-19,13:28:30,"Point Cloates","Fished","outNP.23",190,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.47"
"47","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7637,113.4839,2021-05-19,13:28:30,"Point Cloates","Fished","outNP.23",190,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.47"
"47","Pinguipedidae","Parapercis","nebulosa",NA,4053.68373,1,NA,NA,"2021-05_PtCloates_BOSS",-22.7637,113.4839,2021-05-19,13:28:30,"Point Cloates","Fished","outNP.23",190,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.47"
