"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2022-05_PtCloates_BOSS","133",-22.7256,113.5479,"2022-05-23","15:00:34","Pt Cloates","No-take",NA,87.5,"Claude","Yes","Yes"
"2022-05_PtCloates_BOSS","110",-22.7234,113.5447,"2022-05-23","15:14:15","Pt Cloates","No-take",NA,93.3,"Claude","Yes","Yes"
"2022-05_PtCloates_BOSS","102",-22.7161,113.5489,"2022-05-23","15:27:09","Pt Cloates","No-take",NA,87.7,"Claude","Yes","Yes"
"2022-05_PtCloates_BOSS","139",-22.7092,113.549,"2022-05-25","08:16:36","Pt Cloates","No-take",NA,92.2,"Claude","Yes","Yes"
"2022-05_PtCloates_BOSS","130",-22.7084,113.5508,"2022-05-25","08:30:36","Pt Cloates","No-take",NA,91.6,"Claude","Yes","Yes"
"2022-05_PtCloates_BOSS","137",-22.7104,113.5582,"2022-05-25","09:01:01","Pt Cloates","No-take",NA,76.4,"Claude","Yes","Yes"
"2022-05_PtCloates_BOSS","107",-22.709,113.5599,"2022-05-25","09:15:11","Pt Cloates","No-take",NA,75.4,"Claude","Yes","Yes"
"2022-05_PtCloates_BOSS","101",-22.7071,113.5528,"2022-05-25","09:29:26","Pt Cloates","No-take",NA,84.5,"Kaitlin","Yes","Yes"
"2022-05_PtCloates_BOSS","155",-22.7068,113.5483,"2022-05-25","09:44:12","Pt Cloates","No-take",NA,95.9,"Kaitlin","Yes","Yes"
"2022-05_PtCloates_BOSS","B58",-22.7053,113.5499,"2022-05-25","09:56:58","Pt Cloates","No-take",NA,92.5,"Kaitlin","Yes","Yes"
"2022-05_PtCloates_BOSS","116",-22.706,113.554,"2022-05-25","10:16:00","Pt Cloates","No-take",NA,82.1,"Kaitlin","Yes","Yes"
"2022-05_PtCloates_BOSS","138",-22.7061,113.5624,"2022-05-25","10:31:29","Pt Cloates","No-take",NA,75.6,"Kaitlin","Yes","Yes"
"2022-05_PtCloates_BOSS","142",-22.7049,113.5596,"2022-05-25","10:53:16","Pt Cloates","No-take",NA,76.9,"Kaitlin","Yes","Yes"
"2022-05_PtCloates_BOSS","113",-22.7038,113.5592,"2022-05-25","11:08:37","Pt Cloates","No-take",NA,78.5,"Kaitlin","Yes","Yes"
"2022-05_PtCloates_BOSS","149",-22.7034,113.55,"2022-05-25","11:24:56","Pt Cloates","No-take",NA,94.5,"Kaitlin","Yes","Yes"
"2022-05_PtCloates_BOSS","120",-22.6997,113.5628,"2022-05-26","10:36:07","Pt Cloates","No-take",NA,75.2,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","134",-22.6982,113.5637,"2022-05-26","10:50:23","Pt Cloates","No-take",NA,75.3,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","106",-22.6968,113.5635,"2022-05-26","10:59:43","Pt Cloates","No-take",NA,75.8,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","111",-22.6958,113.5608,"2022-05-26","11:11:19","Pt Cloates","No-take",NA,78.7,"Molly","Yes",NA
